name,sensor22,sensor23,sensor24,sensor25,sensor27,sensor28,sensor29
0,1467.0429594272075,1444.9,1410.1353383458647,1486.7197640117995,1624.3428571428572,1594.3583333333331,1409.852777777778
1,1460.940476190476,1418.4324324324325,1407.2272727272727,1482.3846153846157,1612.6,1584.3694444444443,1409.5444444444445
2,1459.066844919786,1426.2833333333333,1404.3588850174217,1480.6216216216217,1607.604761904762,1572.6083333333331,1410.7416666666666
3,1452.3111111111111,1429.3833333333334,1410.4558823529412,1482.1566666666668,1622.9952380952382,1588.7333333333331,1411.8472222222222
4,1462.8694444444443,1463.5833333333333,1417.7005649717514,1488.7742857142855,1643.05,1606.8416666666667,1413.6916666666666
5,1494.7916666666667,1499.15,1417.485893416928,1500.7565217391304,1660.7880952380951,1631.6194444444443,1419.8722222222225
6,1531.163879598662,1521.85,1434.6085626911315,1507.9108108108107,1658.145238095238,1637.3055555555557,1420.994382022472
7,1527.4195402298851,1535.3833333333334,1438.9888888888888,1511.5142857142855,1666.1857142857143,1638.3638888888888,1421.9972222222225
8,1551.9610027855151,1517.1,1448.6475903614455,1525.9891304347825,1673.9952380952382,1642.4444444444443,1422.036111111111
9,1551.0863509749304,1529.15,1450.2028985507247,1527.2126245847176,1662.4214285714286,1644.859943977591,1419.8555555555556
10,1550.7769784172665,1537.15,1446.5250596658711,1523.5096153846157,1663.1333333333334,1646.6045197740114,1420.9751243781095
11,1560.3520782396088,1561.6,1449.891008174387,1526.3333333333333,1666.942857142857,1657.8944444444444,1422.2894736842106
12,1552.115,1535.9166666666667,1449.5482625482623,1522.7761732851986,1672.4142857142858,1649.4472222222223,1419.9855421686748
13,1552.0489913544668,1549.1818181818182,1457.3290598290598,1524.904761904762,1666.5071428571428,1645.147222222222,1423.8595238095238
14,1570.712676056338,,1462.7282913165266,1528.699680511182,1669.5904761904762,1651.15,1423.428571428571
15,1558.0922330097087,,1450.6703910614526,1521.8115501519758,1666.338095238095,1647.275,1423.4642857142858
16,1566.733173076923,,1445.892857142857,1525.169675090253,1671.6918918918918,1645.3591160220994,1421.6849642004772
17,1548.0058309037902,,1443.84375,1521.9833333333331,1666.338888888889,1649.7583732057417,1422.6285714285714
18,1546.4638403990025,,1439.3628691983122,1517.5064516129032,1657.5936794582392,1641.2071428571428,1418.525179856115
19,1539.945868945869,,1432.1965811965813,1512.1279069767445,1656.895238095238,1636.8333333333333,1418.8400954653937
20,1532.282122905028,,1437.1132075471698,1509.1505681818182,1655.357142857143,1634.3,1418.5857142857142
21,1521.7393767705382,,1426.579908675799,1507.7894736842106,1649.85,1629.5785714285714,1415.3809523809523
22,1503.741573033708,,1426.2920792079208,1502.664,1644.1214285714286,1617.4928571428572,1413.4761904761904
23,1488.6159420289855,,1412.6166007905138,1492.9870466321242,1640.8857142857144,1609.3880952380953,1411.631067961165
